region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
E12000005,emp_total_jobs,2042,17106253.18945937,16176390.457252745,18088750.421876546,1912359.9646238014,0.05589651759048471
E12000005,emp_total_jobs,2043,19929342.512450814,18817192.197920367,21106271.37817626,2289079.1802558936,0.05742987202979216
E12000005,emp_total_jobs,2044,23196144.165035613,21869056.74455616,24602653.117490064,2733596.3729339056,0.05892350800816185
E12000005,emp_total_jobs,2045,26969807.29409468,25389871.074298978,28646765.131724317,3256894.057425339,0.06038037316897087
E12000005,emp_total_jobs,2046,31322587.271111324,29445812.864106778,33317476.842484456,3871663.9783776775,0.06180306794050335
E12000005,emp_total_jobs,2047,36338675.36514843,34113960.62598351,38706725.87678684,4592765.2508033365,0.06319390022686613
E12000005,emp_total_jobs,2048,42116743.62477913,39484617.773038425,44922304.60380308,5437686.830764659,0.06455492949798508
E12000005,emp_total_jobs,2049,48771415.45943631,45662615.24523653,52089517.5509084,6426902.305671871,0.06588800268691393
E12000005,emp_total_jobs,2050,3399609.810563352,3178763.4222072037,3635635.513852547,456872.09164534323,0.06719478368160647
E12000005,employment_rate_pct,2026,74.27547785087181,73.46849448219061,75.08246121955301,1.6139667373624036,0.01086473479580219
E12000005,employment_rate_pct,2027,74.37479824178202,73.23355141718353,75.5160450663805,2.282493649196965,0.015344536746015089
E12000005,employment_rate_pct,2028,74.47411863269222,73.07638243727331,75.87185482811114,2.79547239083783,0.018768079717902758
E12000005,employment_rate_pct,2029,74.57343902360245,72.95947228624006,76.18740576096484,3.2279334747247788,0.021642648622542
E12000005,employment_rate_pct,2030,74.67275941451265,72.86828974542972,76.47722908359559,3.608939338165868,0.02416503264686152
E12000005,employment_rate_pct,2031,74.77207980542288,72.79538232124168,76.74877728960408,3.953394968362403,0.026436304691872976
E12000005,employment_rate_pct,2032,74.87140019633308,72.7363228906375,77.00647750202867,4.2701546113911775,0.0285165937874387
E12000005,employment_rate_pct,2033,74.97072058724329,72.68822693804634,77.25321423644024,4.564987298393902,0.030445134197967554
E12000005,employment_rate_pct,2034,75.0700409781535,72.64909087210991,77.49099108419709,4.841900212087182,0.03224921785706929
E12000005,employment_rate_pct,2035,75.16936136906371,72.61745589015574,77.72126684797168,5.103810957815938,0.033948744973084435
E12000005,employment_rate_pct,2036,75.26868175997392,72.59222071400134,77.94514280594649,5.352922091945146,0.03555876074072352
E12000005,employment_rate_pct,2037,75.36800215088414,72.5725297600463,78.16347454172198,5.590944781675688,0.03709097111585106
E12000005,employment_rate_pct,2038,75.46732254179435,72.55770262756764,78.37694245602106,5.819239828453419,0.038554699123124994
E12000005,employment_rate_pct,2039,75.56664293270455,72.54718765027484,78.58609821513427,6.038910564859435,0.03995751518455936
E12000005,employment_rate_pct,2040,75.66596332361478,72.54053017604615,78.7913964711834,6.250866295137257,0.0413056678364287
E12000005,employment_rate_pct,2041,75.76528371452498,72.53735023980019,78.99321718924978,6.455866949449586,0.04260438708165182
E12000005,employment_rate_pct,2042,75.86460410543519,72.53732643824586,79.19188177262453,6.654555334378671,0.043858103610020134
E12000005,employment_rate_pct,2043,75.9639244963454,72.54018402254997,79.38766497014083,6.847480947590867,0.04507061077340927
E12000005,employment_rate_pct,2044,76.06324488725562,72.54568593405627,79.58080384045498,7.03511790639871,0.04624518659982545
E12000005,employment_rate_pct,2045,76.16256527816583,72.55362593999998,79.77150461633168,7.217878676331708,0.0473846872802282
E12000005,employment_rate_pct,2046,76.26188566907604,72.563823297524,79.95994804062808,7.396124743104082,0.04849161988465745
E12000005,employment_rate_pct,2047,76.36120605998624,72.57611854960857,80.14629357036392,7.570175020755357,0.04956819968773501
E12000005,employment_rate_pct,2048,76.46052645089645,72.59037017258608,80.33068272920683,7.740312556620751,0.050616395909800854
E12000005,employment_rate_pct,2049,76.55984684180667,72.60645187344426,80.51324181016909,7.906789936724834,0.05163796861468648
E12000005,employment_rate_pct,2050,76.65916723271688,72.6242503893109,80.69408407612286,8.069833686811961,0.05263449876982154
E12000005,gdhi_per_head_gbp,2024,21319.796945551538,20209.561169863842,22153.030537431758,1943.4693675679155,0.04557898399622019
E12000005,gdhi_per_head_gbp,2025,21356.761757405973,20008.728499646644,22783.11188673782,2774.3833870911767,0.06495327846528728
E12000005,gdhi_per_head_gbp,2026,21929.359681652506,20247.572298625902,23737.811214243393,3490.2389156174904,0.07957913423568053
E12000005,gdhi_per_head_gbp,2027,22529.96275841129,20547.787948213623,24689.801641207974,4142.013692994351,0.09192233776436182
E12000005,gdhi_per_head_gbp,2028,23154.106951037964,20889.395956952496,25650.26854604632,4760.872589093826,0.10280838296120082
